combo_index,buy_pullback_rsi,sell_overbought_rsi,min_atr,extreme_setup_rsi,extreme_setup_rel_vol,return_pct,max_drawdown_pct,max_drawdown_abs,win_rate_pct,profit_factor,sharpe_ratio,trade_count
166,46.0,74.0,2.5,30.0,0.9,11.772825853912247,-10.130297965520974,10.130297965520974,44.09448818897638,1.3480313247333289,0.36235966718673335,127
167,46.0,74.0,2.5,30.0,1.0,11.772825853912247,-10.130297965520974,10.130297965520974,44.09448818897638,1.3480313247333289,0.36235966718673335,127
168,46.0,74.0,2.5,30.0,1.1,11.772825853912247,-10.130297965520974,10.130297965520974,44.09448818897638,1.3480313247333289,0.36235966718673335,127
169,46.0,74.0,2.5,35.0,0.9,11.772825853912247,-10.130297965520974,10.130297965520974,44.09448818897638,1.3480313247333289,0.36235966718673335,127
170,46.0,74.0,2.5,35.0,1.0,11.772825853912247,-10.130297965520974,10.130297965520974,44.09448818897638,1.3480313247333289,0.36235966718673335,127
171,46.0,74.0,2.5,35.0,1.1,11.772825853912247,-10.130297965520974,10.130297965520974,44.09448818897638,1.3480313247333289,0.36235966718673335,127
172,46.0,74.0,3.5,25.0,0.9,22.955588869605855,-10.242933378736229,10.242933378736229,45.45454545454545,1.443008047772295,0.5407587784107758,132
173,46.0,74.0,3.5,25.0,1.0,22.955588869605855,-10.242933378736229,10.242933378736229,45.45454545454545,1.443008047772295,0.5407587784107758,132
174,46.0,74.0,3.5,25.0,1.1,22.955588869605855,-10.242933378736229,10.242933378736229,45.45454545454545,1.443008047772295,0.5407587784107758,132
175,46.0,74.0,3.5,30.0,0.9,22.955588869605855,-10.242933378736229,10.242933378736229,45.45454545454545,1.443008047772295,0.5407587784107758,132
176,46.0,74.0,3.5,30.0,1.0,22.955588869605855,-10.242933378736229,10.242933378736229,45.45454545454545,1.443008047772295,0.5407587784107758,132
177,46.0,74.0,3.5,30.0,1.1,22.955588869605855,-10.242933378736229,10.242933378736229,45.45454545454545,1.443008047772295,0.5407587784107758,132
178,46.0,74.0,3.5,35.0,0.9,22.955588869605855,-10.242933378736229,10.242933378736229,45.45454545454545,1.443008047772295,0.5407587784107758,132
179,46.0,74.0,3.5,35.0,1.0,22.955588869605855,-10.242933378736229,10.242933378736229,45.45454545454545,1.443008047772295,0.5407587784107758,132
180,46.0,74.0,3.5,35.0,1.1,22.955588869605855,-10.242933378736229,10.242933378736229,45.45454545454545,1.443008047772295,0.5407587784107758,132
